Date,Country,Price in US dollars
2011-07-01,India,1.89189189189189
2011-07-01,Israel,4.67186742474327
2011-07-01,Japan,4.08345562432208
2011-07-01,South Korea,3.50312440825601
2011-07-01,Sri Lanka,2.55766156656771
2011-07-01,Mexico,2.74189747873958
2011-07-01,Malaysia,2.42179616548941
2011-07-01,Norway,8.31170750177778
2011-07-01,New Zealand,4.41150000061761
2011-07-01,Pakistan,2.37570212519544
2011-07-01,Peru,3.65296803652968
2011-07-01,Philippines,2.78236265031832
2011-07-01,Poland,3.08566933638444
2011-07-01,Russia,2.70245923790649
2011-07-01,Saudi Arabia,2.66652445202923
2011-07-01,Singapore,3.65353547906052
2011-07-01,Sweden,7.63985351685819
2011-07-01,Thailand,2.35294117647059
2011-07-01,Turkey,3.77281829526656
2011-07-01,Taiwan,2.60109592841784
2011-07-01,Ukraine,2.06404803602702
2011-07-01,Uruguay,4.87804878048781
2011-07-01,United States,4.065
2011-07-01,South Africa,2.87345708650657
2012-01-01,UAE,3.26708412741628
2012-01-01,Argentina,4.63660600440478
2012-01-01,Australia,4.93656000004245
2012-01-01,Brazil,5.6786703601108
2012-01-01,Canada,4.63293990890837
2012-01-01,Switzerland,6.805570097372
2012-01-01,Chile,4.05098310443632
2012-01-01,China,2.43844509540021
2012-01-01,Colombia,4.53526982155873
2012-01-01,Costa Rica,4.02323664481689
2012-01-01,Czech Republic,3.44801341494254
2012-01-01,Denmark,5.37418854018272
2012-01-01,Egypt,2.56750041411297
2012-01-01,Euro area,4.43070477464433
2012-01-01,Britain,3.82339500177214
2012-01-01,Hong Kong,2.12427661943906
2012-01-01,Hungary,2.62521406178614
2012-01-01,Indonesia,2.46004366812227
2012-01-01,India,1.61834120026972
2012-01-01,Israel,4.13147979732363
2012-01-01,Japan,4.16016640665627
2012-01-01,South Korea,3.19309600862999
2012-01-01,Sri Lanka,2.54542262792943
2012-01-01,Mexico,2.70380871649469
2012-01-01,Malaysia,2.34109983914892
2012-01-01,Norway,6.78819185748108
2012-01-01,New Zealand,4.04761500000405
2012-01-01,Pakistan,2.88728484175458
2012-01-01,Peru,3.71402042711235
2012-01-01,Philippines,2.68151346437905
2012-01-01,Poland,2.58489681716826
2012-01-01,Russia,2.54963124777694
2012-01-01,Saudi Arabia,2.66652445202923
2012-01-01,Singapore,3.75154702970297
2012-01-01,Sweden,5.91306354379994
2012-01-01,Thailand,2.45669291338583
2012-01-01,Turkey,3.54276819023592
2012-01-01,Taiwan,2.50170950149269
2012-01-01,Ukraine,2.11429637460357
2012-01-01,Uruguay,4.62724935732648
2012-01-01,United States,4.19722
2012-01-01,South Africa,2.45375381285054
2012-07-01,UAE,3.26712860234961
2012-07-01,Argentina,4.16096359156857
2012-07-01,Australia,4.68015599908292
2012-07-01,Brazil,4.93597434076831
2012-07-01,Canada,5.02231595468145
2012-07-01,Switzerland,6.56167979002625
2012-07-01,Chile,4.15779332724876
2012-07-01,China,2.44971433043751
2012-07-01,Colombia,4.76592914836725
2012-07-01,Czech Republic,3.34141011022425
2012-07-01,Denmark,4.64502249168785
2012-07-01,Egypt,2.63743509437072
2012-07-01,Euro area,4.34443469296111
2012-07-01,Britain,4.1623715002999
2012-07-01,Hong Kong,2.126795692272
2012-07-01,Hungary,3.48424596089836
2012-07-01,Indonesia,2.55206960189823
2012-07-01,India,1.58461675420636
2012-07-01,Israel,2.91934989267096
2012-07-01,Japan,4.09102531321913
2012-07-01,South Korea,3.21459600347524
2012-07-01,Sri Lanka,2.21374045801527
2012-07-01,Mexico,2.70329509753781
2012-07-01,Malaysia,2.33181030408067
2012-07-01,Norway,7.05837936326852
2012-07-01,New Zealand,4.00452000065995
2012-07-01,Pakistan,3.01252576502299
2012-07-01,Philippines,2.79620853080569
2012-07-01,Poland,2.62979178406809
2012-07-01,Russia,2.28901046077781
2012-07-01,Saudi Arabia,2.66648890073995
2012-07-01,Singapore,3.49622566547477
2012-07-01,Sweden,5.72868135202144
2012-07-01,Thailand,2.58675078864353
2012-07-01,Turkey,4.51584651595599
2012-07-01,Taiwan,2.48381381331655
2012-07-01,Ukraine,1.85517284026962
2012-07-01,Uruguay,4.52674897119342
2012-07-01,United States,4.3275
2012-07-01,South Africa,2.35584473861342
2013-01-01,UAE,3.2670396536938
2013-01-01,Argentina,3.81794433839044
2013-01-01,Australia,4.90045499838408
2013-01-01,Brazil,5.64376552035518
2013-01-01,Canada,5.39435636653704
2013-01-01,Switzerland,7.12484928203442
2013-01-01,Chile,4.34552199258082
2013-01-01,China,2.57218185325703
2013-01-01,Colombia,4.85005710096296
2013-01-01,Costa Rica,4.39270810454645
2013-01-01,Czech Republic,3.72215856617774
